1,12,0
1,12,5
1,12,20
1,12,25
1,12,40
1,12,45
1,13,0
1,13,5
1,13,20
1,13,25
1,13,40
1,13,45
1,14,0
1,14,5
1,14,20
1,14,25
1,14,40
1,14,45
1,15,0
1,15,5
1,15,20
1,15,25
1,15,40
1,15,45
1,16,0
1,16,5
1,16,20
1,16,25
1,16,40
1,16,45
1,17,0
1,17,5
1,17,20
1,17,25
1,17,40
1,17,45
1,18,0
1,18,5
1,18,20
1,18,25
1,18,40
1,18,45
2,14,0
2,14,5
2,14,20
2,14,25
2,14,40
2,14,45
2,15,0
2,15,5
2,15,20
2,15,25
2,15,40
2,15,45
2,16,0
2,16,5
2,16,20
2,16,25
2,16,40
2,16,45
2,17,0
2,17,5
2,17,20
2,17,25
2,17,40
2,17,45
2,18,0
2,18,5
2,18,20
2,18,25
2,18,40
2,18,45
3,14,0
3,14,5
3,14,20
3,14,25
3,14,40
3,14,45
3,15,0
3,15,5
3,15,20
3,15,25
3,15,40
3,15,45
3,16,0
3,16,5
3,16,20
3,16,25
3,16,40
3,16,45
3,17,0
3,17,5
3,17,20
3,17,25
3,17,40
3,17,45
3,18,0
3,18,5
3,18,20
3,18,25
3,18,40
3,18,45
